7 4 1  | 4	| 0.930000	Solution (brute): 1 	 | 27	| 0.930000	Solution (old): 1 	
7 4 1  | 18	| 0.990000	Solution (brute): 1 	 | 27	| 0.990000	Solution (old): 1 	
7 4 1  | 5	| 0.870000	Solution (brute): 1 	 | 29	| 0.870000	Solution (old): 1 	
7 4 1  | 4	| 0.740000	Solution (brute): 1 	 | 22	| 0.740000	Solution (old): 1 	
8 4 1  | 4	| 0.940000	Solution (brute): 1 	 | 23	| 0.940000	Solution (old): 1 	
8 4 1  | 4	| 0.940000	Solution (brute): 1 	 | 22	| 0.940000	Solution (old): 1 	
8 4 1  | 4	| 0.870000	Solution (brute): 1 	 | 22	| 0.870000	Solution (old): 1 	
8 4 1  | 4	| 0.720000	Solution (brute): 1 	 | 21	| 0.720000	Solution (old): 1 	
8 4 1  | 4	| 0.700000	Solution (brute): 1 	 | 22	| 0.700000	Solution (old): 1 	
9 4 1  | 4	| 0.930000	Solution (brute): 1 	 | 21	| 0.930000	Solution (old): 1 	
9 4 1  | 4	| 0.760000	Solution (brute): 1 	 | 21	| 0.760000	Solution (old): 1 	
9 4 1  | 3	| 0.900000	Solution (brute): 1 	 | 20	| 0.900000	Solution (old): 1 	
9 4 1  | 4	| 0.980000	Solution (brute): 1 	 | 20	| 0.980000	Solution (old): 1 	
9 4 1  | 3	| 0.790000	Solution (brute): 1 	 | 21	| 0.790000	Solution (old): 1 	
1 5 1  | 3	| 0.840000	Solution (brute): 1 	 | 22	| 0.840000	Solution (old): 1 	
1 5 1  | 2	| 0.950000	Solution (brute): 1 	 | 20	| 0.950000	Solution (old): 1 	
1 5 1  | 3	| 0.820000	Solution (brute): 1 	 | 32	| 0.820000	Solution (old): 1 	
1 5 1  | 2	| 0.690000	Solution (brute): 1 	 | 21	| 0.690000	Solution (old): 1 	
1 5 1  | 3	| 0.900000	Solution (brute): 1 	 | 17	| 0.900000	Solution (old): 1 	
2 5 1  | 3	| 0.910000	Solution (brute): 1 	 | 18	| 0.910000	Solution (old): 1 	
2 5 1  | 3	| 0.720000	Solution (brute): 1 	 | 17	| 0.720000	Solution (old): 1 	
2 5 1  | 3	| 0.720000	Solution (brute): 1 	 | 16	| 0.720000	Solution (old): 1 	
2 5 1  | 2	| 0.980000	Solution (brute): 1 	 | 17	| 0.980000	Solution (old): 1 	
2 5 1  | 3	| 0.980000	Solution (brute): 1 	 | 18	| 0.980000	Solution (old): 1 	
3 5 1  | 3	| 0.730000	Solution (brute): 1 	 | 19	| 0.730000	Solution (old): 1 	
3 5 1  | 3	| 0.930000	Solution (brute): 1 	 | 24	| 0.930000	Solution (old): 1 	
3 5 1  | 3	| 0.570000	Solution (brute): 1 	 | 18	| 0.570000	Solution (old): 1 	
3 5 1  | 4	| 0.920000	Solution (brute): 1 	 | 18	| 0.920000	Solution (old): 1 	
3 5 1  | 3	| 0.970000	Solution (brute): 1 	 | 20	| 0.970000	Solution (old): 1 	
4 5 1  | 5	| 0.950000	Solution (brute): 1 	 | 29	| 0.950000	Solution (old): 1 	
4 5 1  | 5	| 0.790000	Solution (brute): 1 	 | 26	| 0.790000	Solution (old): 1 	
4 5 1  | 4	| 0.950000	Solution (brute): 1 	 | 25	| 0.950000	Solution (old): 1 	
4 5 1  | 4	| 0.790000	Solution (brute): 1 	 | 27	| 0.790000	Solution (old): 1 	
4 5 1  | 4	| 0.390000	Solution (brute): 1 	 | 25	| 0.390000	Solution (old): 1 	
5 5 1  | 5	| 0.920000	Solution (brute): 1 	 | 29	| 0.920000	Solution (old): 1 	
5 5 1  | 5	| 0.920000	Solution (brute): 1 	 | 30	| 0.920000	Solution (old): 1 	
5 5 1  | 3	| 0.960000	Solution (brute): 1 	 | 18	| 0.960000	Solution (old): 1 	
5 5 1  | 4	| 0.880000	Solution (brute): 1 	 | 22	| 0.880000	Solution (old): 1 	
5 5 1  | 3	| 0.830000	Solution (brute): 1 	 | 17	| 0.830000	Solution (old): 1 	
6 5 1  | 5	| 0.730000	Solution (brute): 1 	 | 27	| 0.730000	Solution (old): 1 	
6 5 1  | 5	| 0.840000	Solution (brute): 1 	 | 25	| 0.840000	Solution (old): 1 	
6 5 1  | 4	| 0.880000	Solution (brute): 1 	 | 26	| 0.880000	Solution (old): 1 	
6 5 1  | 5	| 0.970000	Solution (brute): 1 	 | 32	| 0.970000	Solution (old): 1 	
6 5 1  | 6	| 0.930000	Solution (brute): 1 	 | 41	| 0.930000	Solution (old): 1 	
7 5 1  | 4	| 0.990000	Solution (brute): 1 	 | 18	| 0.990000	Solution (old): 1 	
7 5 1  | 3	| 0.680000	Solution (brute): 1 	 | 18	| 0.680000	Solution (old): 1 	
7 5 1  | 3	| 0.640000	Solution (brute): 1 	 | 17	| 0.640000	Solution (old): 1 	
7 5 1  | 6	| 0.900000	Solution (brute): 1 	 | 33	| 0.900000	Solution (old): 1 	
7 5 1  | 5	| 0.820000	Solution (brute): 1 	 | 27	| 0.820000	Solution (old): 1 	
8 5 1  | 3	| 0.960000	Solution (brute): 1 	 | 19	| 0.960000	Solution (old): 1 	
8 5 1  | 7	| 0.930000	Solution (brute): 1 	 | 36	| 0.930000	Solution (old): 1 	
8 5 1  | 5	| 0.490000	Solution (brute): 1 	 | 39	| 0.490000	Solution (old): 1 	
8 5 1  | 5	| 0.940000	Solution (brute): 1 	 | 27	| 0.940000	Solution (old): 1 	
8 5 1  | 6	| 0.950000	Solution (brute): 1 	 | 39	| 0.950000	Solution (old): 1 	
9 5 1  | 7	| 0.980000	Solution (brute): 1 	 | 29	| 0.980000	Solution (old): 1 	
9 5 1  | 7	| 0.910000	Solution (brute): 1 	 | 35	| 0.910000	Solution (old): 1 	
9 5 1  | 4	| 0.810000	Solution (brute): 1 	 | 23	| 0.810000	Solution (old): 1 	
9 5 1  | 4	| 0.640000	Solution (brute): 1 	 | 21	| 0.640000	Solution (old): 1 	
9 5 1  | 3	| 0.970000	Solution (brute): 1 	 | 21	| 0.970000	Solution (old): 1 	
1 6 1  | 6	| 0.870000	Solution (brute): 1 	 | 18	| 0.870000	Solution (old): 1 	
1 6 1  | 1	| 0.890000	Solution (brute): 1 	 | 11	| 0.890000	Solution (old): 1 	
1 6 1  | 2	| 0.490000	Solution (brute): 1 	 | 10	| 0.490000	Solution (old): 1 	
1 6 1  | 1	| 0.810000	Solution (brute): 1 	 | 10	| 0.810000	Solution (old): 1 	
1 6 1  | 4	| 0.550000	Solution (brute): 1 	 | 18	| 0.550000	Solution (old): 1 	
2 6 1  | 5	| 0.900000	Solution (brute): 1 	 | 14	| 0.900000	Solution (old): 1 	
2 6 1  | 1	| 0.970000	Solution (brute): 1 	 | 10	| 0.970000	Solution (old): 1 	
2 6 1  | 2	| 0.840000	Solution (brute): 1 	 | 10	| 0.840000	Solution (old): 1 	
2 6 1  | 1	| 0.790000	Solution (brute): 1 	 | 10	| 0.790000	Solution (old): 1 	
2 6 1  | 2	| 0.950000	Solution (brute): 1 	 | 11	| 0.950000	Solution (old): 1 	
3 6 1  | 3	| 0.960000	Solution (brute): 1 	 | 19	| 0.960000	Solution (old): 1 	
3 6 1  | 1	| 0.990000	Solution (brute): 1 	 | 11	| 0.990000	Solution (old): 1 	
3 6 1  | 4	| 0.950000	Solution (brute): 1 	 | 17	| 0.950000	Solution (old): 1 	
3 6 1  | 1	| 0.860000	Solution (brute): 1 	 | 11	| 0.860000	Solution (old): 1 	
3 6 1  | 2	| 0.970000	Solution (brute): 1 	 | 10	| 0.970000	Solution (old): 1 	
4 6 1  | 5	| 0.810000	Solution (brute): 1 	 | 30	| 0.810000	Solution (old): 1 	
4 6 1  | 7	| 0.720000	Solution (brute): 1 	 | 37	| 0.720000	Solution (old): 1 	
4 6 1  | 5	| 0.880000	Solution (brute): 1 	 | 34	| 0.880000	Solution (old): 1 	
4 6 1  | 5	| 0.800000	Solution (brute): 1 	 | 25	| 0.800000	Solution (old): 1 	
4 6 1  | 3	| 0.950000	Solution (brute): 1 	 | 10	| 0.950000	Solution (old): 1 	
5 6 1  | 5	| 0.700000	Solution (brute): 1 	 | 26	| 0.700000	Solution (old): 1 	
5 6 1  | 5	| 0.680000	Solution (brute): 1 	 | 25	| 0.680000	Solution (old): 1 	
5 6 1  | 4	| 0.810000	Solution (brute): 1 	 | 25	| 0.810000	Solution (old): 1 	
5 6 1  | 5	| 0.800000	Solution (brute): 1 	 | 23	| 0.800000	Solution (old): 1 	
5 6 1  | 2	| 0.900000	Solution (brute): 1 	 | 11	| 0.900000	Solution (old): 1 	
6 6 1  | 5	| 0.990000	Solution (brute): 1 	 | 27	| 0.990000	Solution (old): 1 	
6 6 1  | 4	| 0.900000	Solution (brute): 1 	 | 37	| 0.900000	Solution (old): 1 	
6 6 1  | 5	| 0.970000	Solution (brute): 1 	 | 25	| 0.970000	Solution (old): 1 	
6 6 1  | 5	| 0.850000	Solution (brute): 1 	 | 20	| 0.850000	Solution (old): 1 	
