7 4 1  | 3	| 0.790000	Solution (brute): 1 	 | 22	| 0.790000	Solution (vec): 1 	
7 4 1  | 3	| 0.780000	Solution (brute): 1 	 | 22	| 0.780000	Solution (vec): 1 	
8 4 1  | 3	| 0.530000	Solution (brute): 1 	 | 23	| 0.530000	Solution (vec): 1 	
8 4 1  | 3	| 0.970000	Solution (brute): 1 	 | 24	| 0.970000	Solution (vec): 1 	
8 4 1  | 4	| 0.530000	Solution (brute): 1 	 | 24	| 0.530000	Solution (vec): 1 	
8 4 1  | 4	| 0.650000	Solution (brute): 1 	 | 22	| 0.650000	Solution (vec): 1 	
8 4 1  | 3	| 0.860000	Solution (brute): 1 	 | 21	| 0.860000	Solution (vec): 1 	
9 4 1  | 4	| 0.750000	Solution (brute): 1 	 | 21	| 0.750000	Solution (vec): 1 	
9 4 1  | 4	| 0.880000	Solution (brute): 1 	 | 20	| 0.880000	Solution (vec): 1 	
9 4 1  | 4	| 0.930000	Solution (brute): 1 	 | 20	| 0.930000	Solution (vec): 1 	
9 4 1  | 3	| 0.890000	Solution (brute): 1 	 | 20	| 0.890000	Solution (vec): 1 	
9 4 1  | 3	| 0.810000	Solution (brute): 1 	 | 21	| 0.810000	Solution (vec): 1 	
1 5 1  | 2	| 0.930000	Solution (brute): 1 	 | 21	| 0.930000	Solution (vec): 1 	
1 5 1  | 4	| 0.630000	Solution (brute): 1 	 | 35	| 0.630000	Solution (vec): 1 	
1 5 1  | 3	| 0.930000	Solution (brute): 1 	 | 24	| 0.930000	Solution (vec): 1 	
1 5 1  | 3	| 0.980000	Solution (brute): 1 	 | 46	| 0.980000	Solution (vec): 1 	
1 5 1  | 3	| 0.760000	Solution (brute): 1 	 | 23	| 0.760000	Solution (vec): 1 	
2 5 1  | 4	| 0.930000	Solution (brute): 1 	 | 27	| 0.930000	Solution (vec): 1 	
2 5 1  | 3	| 0.980000	Solution (brute): 1 	 | 27	| 0.980000	Solution (vec): 1 	
2 5 1  | 3	| 0.990000	Solution (brute): 1 	 | 27	| 0.990000	Solution (vec): 1 	
2 5 1  | 3	| 0.980000	Solution (brute): 1 	 | 21	| 0.980000	Solution (vec): 1 	
2 5 1  | 2	| 0.960000	Solution (brute): 1 	 | 22	| 0.960000	Solution (vec): 1 	
3 5 1  | 3	| 0.980000	Solution (brute): 1 	 | 22	| 0.980000	Solution (vec): 1 	
3 5 1  | 4	| 0.740000	Solution (brute): 1 	 | 21	| 0.740000	Solution (vec): 1 	
3 5 1  | 3	| 0.950000	Solution (brute): 1 	 | 21	| 0.950000	Solution (vec): 1 	
3 5 1  | 3	| 0.610000	Solution (brute): 1 	 | 23	| 0.610000	Solution (vec): 1 	
3 5 1  | 4	| 0.960000	Solution (brute): 1 	 | 21	| 0.960000	Solution (vec): 1 	
4 5 1  | 4	| 0.750000	Solution (brute): 1 	 | 23	| 0.750000	Solution (vec): 1 	
4 5 1  | 3	| 0.750000	Solution (brute): 1 	 | 22	| 0.750000	Solution (vec): 1 	
4 5 1  | 4	| 0.840000	Solution (brute): 1 	 | 22	| 0.840000	Solution (vec): 1 	
4 5 1  | 3	| 0.970000	Solution (brute): 1 	 | 20	| 0.970000	Solution (vec): 1 	
4 5 1  | 3	| 0.740000	Solution (brute): 1 	 | 19	| 0.740000	Solution (vec): 1 	
5 5 1  | 4	| 0.980000	Solution (brute): 1 	 | 30	| 0.980000	Solution (vec): 1 	
5 5 1  | 9	| 0.680000	Solution (brute): 1 	 | 50	| 0.680000	Solution (vec): 1 	
5 5 1  | 5	| 0.640000	Solution (brute): 1 	 | 30	| 0.640000	Solution (vec): 1 	
5 5 1  | 4	| 0.950000	Solution (brute): 1 	 | 24	| 0.950000	Solution (vec): 1 	
5 5 1  | 4	| 0.880000	Solution (brute): 1 	 | 24	| 0.880000	Solution (vec): 1 	
6 5 1  | 4	| 0.690000	Solution (brute): 1 	 | 24	| 0.690000	Solution (vec): 1 	
6 5 1  | 3	| 0.920000	Solution (brute): 1 	 | 23	| 0.920000	Solution (vec): 1 	
6 5 1  | 5	| 0.950000	Solution (brute): 1 	 | 23	| 0.950000	Solution (vec): 1 	
